('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728020 function calls (708499 primitive calls) in 1.941 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    127/1    0.001    0.000    1.941    1.941 {built-in method builtins.exec}
        1    0.001    0.001    1.941    1.941 financial-enhanced.py:1(<module>)
        1    0.000    0.000    1.723    1.723 financial-enhanced.py:6(get_financial_data)
        1    0.000    0.000    1.517    1.517 _request_methods.py:69(request)
        1    0.000    0.000    1.517    1.517 _request_methods.py:147(request_encode_url)
      2/1    0.000    0.000    1.517    1.517 poolmanager.py:409(urlopen)
        2    0.000    0.000    1.516    0.758 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.515    0.758 connectionpool.py:377(_make_request)
        2    0.000    0.000    1.292    0.646 connection.py:485(getresponse)
      895    0.001    0.000    1.289    0.001 socket.py:693(readinto)
      895    0.002    0.000    1.287    0.001 ssl.py:1237(recv_into)
      895    0.001    0.000    1.284    0.001 ssl.py:1095(read)
      895    1.283    0.001    1.283    0.001 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.000    0.000    0.848    0.424 client.py:1384(getresponse)
        2    0.000    0.000    0.848    0.424 client.py:324(begin)
       43    0.000    0.000    0.847    0.020 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.782    0.391 client.py:291(_read_status)
       17    0.000    0.000    0.485    0.029 __init__.py:1(<module>)
      127    0.003    0.000    0.444    0.003 {method 'read' of '_io.BufferedReader' objects}
        2    0.000    0.000    0.443    0.221 response.py:577(__init__)
        3    0.000    0.000    0.443    0.148 response.py:916(read)
        3    0.000    0.000    0.443    0.148 response.py:864(_raw_read)
        3    0.000    0.000    0.443    0.148 response.py:807(_fp_read)
        3    0.000    0.000    0.443    0.148 client.py:463(read)
        2    0.000    0.000    0.442    0.221 client.py:633(_safe_read)
        2    0.000    0.000    0.223    0.111 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.223    0.223 connection.py:669(connect)
    173/4    0.002    0.000    0.218    0.055 <frozen importlib._bootstrap>:1349(_find_and_load)
    173/4    0.000    0.000    0.218    0.055 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    152/4    0.000    0.000    0.218    0.054 <frozen importlib._bootstrap>:911(_load_unlocked)
    125/4    0.000    0.000    0.218    0.054 <frozen importlib._bootstrap_external>:989(exec_module)
    351/8    0.000    0.000    0.217    0.027 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.184    0.184 __init__.py:122(__init__)
        1    0.000    0.000    0.180    0.180 __init__.py:471(_feed)
        1    0.000    0.000    0.180    0.180 _htmlparser.py:372(feed)
        1    0.000    0.000    0.180    0.180 parser.py:104(feed)
        2    0.015    0.007    0.180    0.090 parser.py:134(goahead)
    21/13    0.000    0.000    0.135    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.126    0.126 connection.py:192(_new_conn)
        1    0.000    0.000    0.126    0.126 connection.py:27(create_connection)
        1    0.000    0.000    0.114    0.114 element.py:1(<module>)
    58/37    0.000    0.000    0.112    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      271    0.002    0.000    0.107    0.000 __init__.py:280(_compile)
      270    0.000    0.000    0.107    0.000 __init__.py:226(compile)
     2778    0.019    0.000    0.103    0.000 parser.py:301(parse_starttag)
      160    0.001    0.000    0.102    0.001 _compiler.py:740(compile)
        1    0.000    0.000    0.096    0.096 connection.py:846(_ssl_wrap_socket_and_match_hostname)
  409/405    0.004    0.000    0.093    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.076    0.076 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.076    0.076 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.076    0.076 ssl.py:449(wrap_socket)
