('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         728010 function calls (708504 primitive calls) in 2.335 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
85223/85215    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
    68651    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
53487/48956    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    25760    0.017    0.000    0.017    0.000 {method 'match' of 're.Pattern' objects}
    21908    0.006    0.000    0.011    0.000 _parser.py:168(__getitem__)
    19760    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    19551    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    15388    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    14897    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14587    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    13744    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
    12524    0.003    0.000    0.005    0.000 _parser.py:261(get)
    12150    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    11085    0.003    0.000    0.006    0.000 _markupbase.py:44(updatepos)
    10722    0.002    0.000    0.003    0.000 _parser.py:256(match)
     9621    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9221    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     9066    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
     8344    0.004    0.000    0.004    0.000 {method 'search' of 're.Pattern' objects}
     8201    0.006    0.000    0.006    0.000 element.py:156(setup)
     8148    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     7321    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6267    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     5859    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     5802    0.006    0.000    0.023    0.000 __init__.py:586(endData)
     5710    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5678    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5656    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5547    0.001    0.000    0.001    0.000 element.py:2062(descendants)
     5523    0.003    0.000    0.020    0.000 element.py:2303(search)
     5513    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     5437    0.002    0.000    0.003    0.000 _parser.py:176(append)
     4433    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     4241    0.001    0.000    0.001    0.000 {built-in method _abc._abc_instancecheck}
     4241    0.001    0.000    0.001    0.000 <frozen abc>:117(__instancecheck__)
4167/1476    0.005    0.000    0.010    0.000 element.py:2336(_matches)
     3831    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     3819    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
 3776/160    0.010    0.000    0.026    0.000 _compiler.py:37(_compile)
 3742/298    0.003    0.000    0.005    0.000 _parser.py:178(getwidth)
     3440    0.001    0.000    0.001    0.000 element.py:2203(_normalize_search_value)
     3400    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
3308/3282    0.005    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
     3128    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
 3104/166    0.017    0.000    0.054    0.000 _parser.py:512(_parse)
