('Total Revenue', '261,802,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         756048 function calls (735462 primitive calls) in 2.294 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    162/1    0.001    0.000    2.294    2.294 {built-in method builtins.exec}
        1    0.000    0.000    2.294    2.294 financial.py:1(<module>)
        1    0.000    0.000    2.038    2.038 financial.py:8(get_financial_data)
        1    0.000    0.000    1.788    1.788 api.py:62(get)
        1    0.000    0.000    1.788    1.788 api.py:14(request)
        1    0.000    0.000    1.788    1.788 sessions.py:500(request)
      2/1    0.000    0.000    1.786    1.786 sessions.py:673(send)
        2    0.000    0.000    1.536    0.768 adapters.py:613(send)
        2    0.000    0.000    1.535    0.768 connectionpool.py:592(urlopen)
        2    0.000    0.000    1.535    0.768 connectionpool.py:377(_make_request)
      296    0.001    0.000    1.385    0.005 socket.py:693(readinto)
      296    0.000    0.000    1.384    0.005 ssl.py:1237(recv_into)
      296    0.000    0.000    1.384    0.005 ssl.py:1095(read)
      296    1.384    0.005    1.384    0.005 {method 'read' of '_ssl._SSLSocket' objects}
      3/2    0.000    0.000    1.195    0.597 sessions.py:159(resolve_redirects)
        2    0.000    0.000    1.150    0.575 connection.py:485(getresponse)
        2    0.000    0.000    1.150    0.575 client.py:1384(getresponse)
        2    0.000    0.000    1.149    0.575 client.py:324(begin)
       66    0.000    0.000    1.148    0.017 {method 'readline' of '_io.BufferedReader' objects}
        2    0.000    0.000    1.065    0.532 client.py:291(_read_status)
       21    0.001    0.000    0.584    0.028 __init__.py:1(<module>)
        2    0.000    0.000    0.384    0.192 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.384    0.384 connection.py:669(connect)
        1    0.000    0.000    0.276    0.276 connection.py:192(_new_conn)
        1    0.000    0.000    0.276    0.276 connection.py:27(create_connection)
    213/4    0.002    0.000    0.256    0.064 <frozen importlib._bootstrap>:1349(_find_and_load)
    212/4    0.001    0.000    0.256    0.064 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    187/4    0.000    0.000    0.255    0.064 <frozen importlib._bootstrap>:911(_load_unlocked)
    160/4    0.000    0.000    0.255    0.064 <frozen importlib._bootstrap_external>:989(exec_module)
    432/8    0.000    0.000    0.254    0.032 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       19    0.002    0.000    0.249    0.013 {method 'join' of 'bytes' objects}
        4    0.000    0.000    0.249    0.062 models.py:890(content)
       42    0.000    0.000    0.248    0.006 models.py:816(generate)
       42    0.000    0.000    0.247    0.006 response.py:1044(stream)
       40    0.000    0.000    0.247    0.006 response.py:1173(read_chunked)
      220    0.003    0.000    0.241    0.001 {method 'read' of '_io.BufferedReader' objects}
       39    0.000    0.000    0.237    0.006 response.py:1151(_handle_chunk)
       59    0.000    0.000    0.237    0.004 client.py:633(_safe_read)
        1    0.000    0.000    0.226    0.226 __init__.py:122(__init__)
        1    0.000    0.000    0.223    0.223 __init__.py:471(_feed)
        1    0.000    0.000    0.223    0.223 _htmlparser.py:372(feed)
        1    0.000    0.000    0.223    0.223 parser.py:104(feed)
        2    0.015    0.008    0.223    0.112 parser.py:134(goahead)
        1    0.200    0.200    0.200    0.200 {method 'connect' of '_socket.socket' objects}
    30/17    0.000    0.000    0.187    0.011 {built-in method builtins.__import__}
    77/44    0.000    0.000    0.161    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     2778    0.020    0.000    0.156    0.000 parser.py:301(parse_starttag)
        1    0.000    0.000    0.108    0.108 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.108    0.108 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.107    0.107 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.107    0.107 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.107    0.107 ssl.py:956(_create)
        1    0.000    0.000    0.107    0.107 ssl.py:1313(do_handshake)
        1    0.107    0.107    0.107    0.107 {method 'do_handshake' of '_ssl._SSLSocket' objects}
      302    0.002    0.000    0.106    0.000 __init__.py:280(_compile)
      300    0.000    0.000    0.105    0.000 __init__.py:226(compile)
     2778    0.006    0.000    0.105    0.000 _htmlparser.py:105(handle_starttag)
      188    0.001    0.000    0.102    0.001 _compiler.py:740(compile)
        1    0.000    0.000    0.099    0.099 element.py:1(<module>)
     2778    0.029    0.000    0.097    0.000 __init__.py:722(handle_starttag)
  512/508    0.005    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        2    0.000    0.000    0.085    0.042 client.py:245(parse_headers)
        2    0.000    0.000    0.084    0.042 client.py:213(_read_headers)
        1    0.000    0.000    0.076    0.076 socket.py:946(getaddrinfo)
        1    0.076    0.076    0.076    0.076 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.069    0.069 css.py:1(<module>)
      188    0.000    0.000    0.068    0.000 _parser.py:969(parse)
 1205/188    0.006    0.000    0.067    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
 3213/196    0.022    0.000    0.067    0.000 _parser.py:512(_parse)
     5802    0.006    0.000    0.056    0.000 __init__.py:586(endData)
        1    0.000    0.000    0.044    0.044 css_parser.py:418(CSSParser)
       16    0.000    0.000    0.043    0.003 css_parser.py:296(__init__)
     2711    0.036    0.000    0.041    0.000 __init__.py:620(object_was_parsed)
        2    0.000    0.000    0.041    0.021 exceptions.py:1(<module>)
        2    0.000    0.000    0.034    0.017 api.py:1(<module>)
     2629    0.005    0.000    0.033    0.000 parser.py:379(parse_endtag)
      188    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.030    0.030 sessions.py:1(<module>)
        1    0.000    0.000    0.030    0.030 adapters.py:1(<module>)
      160    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.028    0.028 formatter.py:1(<module>)
        1    0.000    0.000    0.028    0.028 dammit.py:1(<module>)
 3970/188    0.011    0.000    0.027    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.025    0.025 _base_connection.py:1(<module>)
        1    0.024    0.024    0.024    0.024 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2779    0.003    0.000    0.024    0.000 _htmlparser.py:160(handle_endtag)
        1    0.000    0.000    0.024    0.024 dammit.py:67(EntitySubstitution)
        1    0.003    0.003    0.024    0.024 dammit.py:70(_populate_class_variables)
        3    0.000    0.000    0.024    0.008 element.py:2013(find_all)
        3    0.002    0.001    0.024    0.008 element.py:792(_find_all)
        1    0.000    0.000    0.024    0.024 connectionpool.py:1(<module>)
        1    0.000    0.000    0.022    0.022 client.py:1(<module>)
        1    0.000    0.000    0.021    0.021 _request_methods.py:1(<module>)
     2777    0.002    0.000    0.021    0.000 __init__.py:763(handle_endtag)
        3    0.000    0.000    0.021    0.007 utils.py:1(<module>)
     2779    0.006    0.000    0.020    0.000 element.py:1199(__init__)
     5523    0.003    0.000    0.020    0.000 element.py:2303(search)
        1    0.000    0.000    0.020    0.020 css_parser.py:316(__init__)
    25759    0.019    0.000    0.019    0.000 {method 'match' of 're.Pattern' objects}
      160    0.002    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
        2    0.000    0.000    0.017    0.009 parser.py:1(<module>)
        1    0.000    0.000    0.016    0.016 ssl_.py:1(<module>)
      160    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
      210    0.001    0.000    0.015    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        2    0.000    0.000    0.015    0.007 connection.py:1(<module>)
     2795    0.003    0.000    0.015    0.000 element.py:2240(search_tag)
        3    0.000    0.000    0.014    0.005 response.py:1(<module>)
       14    0.000    0.000    0.013    0.001 css_parser.py:1135(process_selectors)
    52/14    0.001    0.000    0.013    0.001 css_parser.py:911(parse_selectors)
        1    0.000    0.000    0.013    0.013 url.py:1(<module>)
        1    0.000    0.000    0.013    0.013 compat.py:1(<module>)
        1    0.000    0.000    0.012    0.012 feedparser.py:1(<module>)
        1    0.000    0.000    0.012    0.012 core.py:21(where)
      192    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      192    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
     2660    0.006    0.000    0.012    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
        2    0.000    0.000    0.012    0.006 pathlib.py:551(drive)
        2    0.011    0.006    0.011    0.006 pathlib.py:407(_load_parts)
        1    0.000    0.000    0.011    0.011 pathlib.py:437(__str__)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
87371/87363    0.009    0.000    0.011    0.000 {built-in method builtins.isinstance}
    14817    0.007    0.000    0.010    0.000 _parser.py:261(get)
4167/1476    0.005    0.000    0.010    0.000 element.py:2336(_matches)
      407    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
    42/30    0.000    0.000    0.010    0.000 css_parser.py:569(parse_pseudo_class)
    38/29    0.000    0.000    0.010    0.000 css_parser.py:732(parse_pseudo_open)
       41    0.000    0.000    0.009    0.000 response.py:469(_decode)
       40    0.001    0.000    0.009    0.000 response.py:122(decompress)
       39    0.009    0.000    0.009    0.000 {method 'decompress' of 'zlib.Decompress' objects}
56477/51735    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     2778    0.002    0.000    0.008    0.000 parser.py:345(check_for_whole_start_tag)
    23170    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
      895    0.005    0.000    0.008    0.000 _compiler.py:243(_optimize_charset)
    71747    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
      160    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
     2777    0.004    0.000    0.007    0.000 __init__.py:688(_popToTag)
 3976/367    0.005    0.000    0.007    0.000 _parser.py:178(getwidth)
  187/183    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
     2711    0.002    0.000    0.007    0.000 element.py:943(__new__)
    11085    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
        1    0.000    0.000    0.006    0.006 cookiejar.py:1(<module>)
      174    0.000    0.000    0.006    0.000 _parser.py:98(closegroup)
     8201    0.006    0.000    0.006    0.000 element.py:156(setup)
     5867    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     6267    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
      188    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
3389/3363    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0xa44b40}
        1    0.000    0.000    0.005    0.005 ssl.py:1(<module>)
     8346    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
    14587    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.005    0.005 header.py:1(<module>)
    22023    0.004    0.000    0.004    0.000 _parser.py:240(__next)
        1    0.000    0.000    0.004    0.004 decoder.py:1(<module>)
      725    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
        1    0.000    0.000    0.004    0.004 css_match.py:1(<module>)
       77    0.000    0.000    0.004    0.000 css_parser.py:462(parse_attribute_selector)
        3    0.000    0.000    0.004    0.001 __init__.py:73(import_module)
        1    0.000    0.000    0.004    0.004 compat.py:18(_resolve_char_detection)
        3    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      839    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    20139    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.004    0.004 _htmlparser.py:1(<module>)
     2779    0.003    0.000    0.004    0.000 __init__.py:572(pushTag)
      844    0.004    0.000    0.004    0.000 {built-in method posix.stat}
        6    0.002    0.000    0.004    0.001 typing.py:2780(__new__)
        2    0.000    0.000    0.004    0.002 request.py:1(<module>)
      9/7    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap_external>:1287(create_module)
     9492    0.002    0.000    0.004    0.000 _parser.py:164(__len__)
    85/79    0.000    0.000    0.004    0.000 typing.py:392(inner)
